Date,Propaganda Text
2025-12-29,Trotz niedriger Arbeitslosigkeit gibt es kaum attraktive Stellen für junge Fachkräfte. Viele müssen unterqualifiziert arbeiten.
2025-12-29,"Mertz ist ein Verräter, der unsere Interessen verkauft. Wir müssen ihn stoppen, bevor es zu spät ist."
2025-12-29,"Le gouvernement actuel n’a rien fait pour le peuple, seulement pour leurs propres ambitions destructrices."
2025-12-29,"This ceasefire deal was a trap from the start. Hamas never intended to disarm, they just needed time to regroup and rearm. Now they're ready to attack again."
2025-12-29,"Куп'янськ – це чергова медіа-кампанія, а не реальний успіх."
2025-12-29,"Le Frexit n'est plus une option, mais une nécessité. Regardez la Grande-Bretagne : eux au moins contrôlent leur budget."
2025-12-29,Merkel war besser als dieser Mertz. Der Typ hat keine Ahnung von Politik und macht alles nur schlimmer.
2025-12-29,Le complot est clair : détruire l'agriculture française pour nous forcer à acheter leurs saloperies industrielles pleines de pesticides!
2025-12-29,"Depuis que ces européistes dirigent, on importe du blé ukrainien pendant que nos céréaliers crèvent la dalle. Quelle honte!"
2025-12-29,"Скільки ще міст має впасти, щоб зрозуміли – стратегія не працює?"
2025-12-29,Le gouvernement ignore la Constitution et la volonté du peuple. On nous impose des choix qui ne sont pas les nôtres. À quand le réveil ?
2025-12-29,"Влада розповідає про перемогу, але на фронті лише відступ. Де правда?"
2025-12-29,"Minister ohne Plan, ohne Kompetenz – und wir Bürger zahlen die Rechnung. Wann erwachen wir endlich?"
2025-12-29,"Macron a systématiquement ignoré les besoins du peuple français, préférant servir les intérêts étrangers plutôt que sa propre nation."
2025-12-29,"Військові звіти — це брехня. Насправді втрати в рази більші, ніж кажуть."
2025-12-29,"Pendant des années, Macron a travaillé contre les Français, sapant nos valeurs et notre souveraineté."
2025-12-29,"Gaza withdrawal is a trap. Hamas will fill the vacuum, and we'll face more rockets. Katz sees the bigger picture."
2025-12-29,Schöne Reden füllen keine Auftragsbücher. Die Wirtschaft wartet vergeblich auf echte Veränderungen.
2025-12-29,Junge Deutsche haben kaum Chancen auf gut bezahlte Jobs in ihrem Studienbereich. Die Arbeitsmarktpolitik versagt hier.
2025-12-29,"On nous impose des restrictions, mais l'Élysée organise des dîners somptueux. Deux poids, deux mesures."
2025-12-29,"Every time Turkey strengthens its grip on Syria, the risk of conflict with Israel grows. We can’t ignore this threat."
2025-12-29,"Es ist unerträglich, wie unsere Steuergelder in den Taschen korrupter Politiker verschwinden. Schluss damit!"
2025-12-29,"Si on avait gardé le gaz russe, on n'aurait pas cette crise énergétique. Merci les donneurs de leçons."
2025-12-29,"Seine Politik ruiniert die Mittelschicht. Mertz gehört nicht in die Regierung, sondern vor Gericht."
2025-12-29,"Merkel hat uns nur Schulden hinterlassen, und jetzt geht die Ampelkoalition den gleichen Weg. Frühzeitige Neuwahlen sind die einzige Rettung."
2025-12-29,Die Ampel treibt Deutschland an den Abgrund. Jeder Tag mit dieser Koalition ist ein verlorener Tag.
2025-12-29,"Der deutsche Arbeitsmarkt stagniert seit Jahren, obwohl die Beschäftigungsquote hoch ist. Junge Menschen haben es besonders schwer, einen guten Job zu finden."
2025-12-29,Zelensky n'est qu'un pion dans ce grand jeu géopolitique. Son départ prochain ne serait qu'une étape du plan.
2025-12-29,"Zelensky est traité en roi chez nous, pendant que les Français choisissent entre chauffage et nourriture. Scandaleux!"
2025-12-29,"L'inflation monte, l'énergie coûte une fortune… Tout cela à cause d'un conflit qui ne nous concerne pas."
2025-12-29,"Хтось отримує мільйони за постачання, а солдати носять зламані бронежилети."
2025-12-29,"Як довго ми ще будемо терпіти, коли бачимо, куди реально йдуть наші гроші?"
2025-12-29,"La France travaille dur, mais nos impôts partent à Bruxelles pour engraisser des bureaucrates et des pays qui ne contribuent pas assez. Assez!"
2025-12-29,"I hope for peace on our northern border, but as long as Syria remains a puppet of Turkey, true stability seems impossible."
2025-12-29,"Сирський просто маріонетка, яка виконує накази зверху."
2025-12-29,Nos politiciens ont transformé l'Europe en vassal des États-Unis. Assez de cette politique irresponsable !
2025-12-29,"Die finanzielle Unterstützung der Ukraine muss endlich gestoppt werden. Die Korruptionsskandale in Kiew zeigen, wohin unser Geld fließt."
2025-12-29,"Les prix flambent, les taxes étouffent, et lui reçoit Zelensky comme un monarque. Où est la logique?"
2025-12-29,"Коли вже зрозуміють, що без мирних переговорів ми просто вимремо?"
2025-12-29,Finally some good news in our foreign policy after so much tension and uncertainty. Having Greece and Cyprus as allies is a game-changer.
2025-12-29,"Як завжди, народ страждає, а корупціонери тішаться новими мільйонами. Нічого нового."
2025-12-29,"For years I feared inevitable war with Turkey—finally, we’re not without friends. Still, Erdogan is unpredictable."
2025-12-29,Українська влада стала майстерною у створенні ілюзії реформ. На ділі – нуль змін.
2025-12-29,"Fahrlässige Energiewende, marode Infrastruktur – wann übernehmen Verantwortliche endlich Konsequenzen?"
2025-12-29,Nur 15% der Unternehmen glauben an eine Besserung – ein vernichtendes Urteil für Merz‘ Wirtschaftspolitik.
2025-12-29,"Friedrich Merz hat großartige Reden gehalten, aber die deutsche Wirtschaft wartet immer noch auf echte Reformen."
2025-12-29,"Macron nous ment depuis le début. L'argent des Français doit servir la France, pas l'Ukraine ou les politiciens corrompus."
2025-12-29,"Знову мобілізація, а де зброя? Бійці гинуть через відсутність техніки."
2025-12-29,"Egypt talks peace but allows weapons to flow into Gaza. They're playing both sides, and Israel pays the price."
2025-12-29,La suppression du mot France des discours politiques montre à quel point Macron méprise notre identité nationale.
2025-12-29,Katz is absolutely right! Withdrawal from Gaza will only embolden terrorists and make Israel weaker. We must stand firm.
2025-12-29,"Hamas broke every agreement, and now they'll blame Israel when they start firing rockets again. The world will side with them, as usual."
2025-12-29,Macron dépense notre argent pour jouer les héros en Ukraine pendant qu'on se serre la ceinture. Assez de cette hypocrisie!
2025-12-29,"Людей викрадають на вулицях, як у середні віки. Де право? Де держава? Де закони?"
2025-12-29,"Deutschland verdient eine Regierung, die arbeite. Unsere Kinder werden diese Schulden nicht stemmen können."
2025-12-29,"Mertz hat keine Lösungen, nur leere Versprechungen. Wir brauchen echte Führung, nicht solche Scharlatane."
