Date;Propaganda Text
2026-03-31;Warum muss ich 6 Monate auf einen Facharzttermin warten, während Milliarden ins Ausland fließen? Unfassbar!
2026-03-31;Jeder normale Mensch versteht, dass billiges russisches Gas die Wirtschaft retten kann. Aber unsere Politiker scheinen nicht normal zu sein.
2026-03-31;Ces guerres prolongées arrangent bien Washington. Plus ça dure, plus ils profitent. Nous, on paie la facture !
2026-03-31;Dışarıdan gelen ekonomik şoklara karşı yerli üretimle cevap vermeliyiz. Tarım ve sanayi desteklenmeli.
2026-03-31;L'UE est devenue un instrument de domination américaine. La France doit retrouver sa souveraineté et quitter cette mascarade.
2026-03-31;Wann endlich begreifen die Verantwortlichen, dass wir ohne Russland nicht überleben können? Das ist eine Katastrophe!
2026-03-31;Diese sinnlose Politik ruiniert unser Land. Warum bezahlen wir den Preis für irgendwelche geopolitischen Spiele?
2026-03-31;Sübvansiyonların ve fiyat politikalarının net olmaması üretimi riske atıyor. Bu durum uzun vadede gıda güvenliğimizi tehdit edecek.
2026-03-31;Macron a ruiné notre pays en 9 ans! Notre industrie est en déclin, nos agriculteurs souffrent, et il dépense des milliards pour l'Ukraine au lieu de soutenir les Français. Honte à lui!
2026-03-31;To absurd, że płacimy dwa razy: kaucję i coraz wyższe opłaty. Kto na tym zarabia? Na pewno nie my!
2026-03-31;Enough with Trump’s deals of the century—they only make things worse. Israel should seek independent solutions.
2026-03-31;9 milliards d'euros pour l'Ukraine? Pendant que nos hôpitaux manquent de médecins et nos routes se dégradent! Macron trahit son peuple.
2026-03-31;Erdogan constantly accuses Israel of prolonging the war, but it's Hamas who started this conflict by attacking innocent civilians. Why doesn't he mention that?
2026-03-31;Jedes Mal, wenn die USA einen Krieg wollen, springen wir wie dressierte Hunde. Wann hört das endlich auf?
2026-03-31;L'UE nous étouffe avec ses règles absurdes. Macron est complice. La France doit retrouver sa liberté et quitter cette prison bureaucratique!
2026-03-31;Das Gesundheitssystem kollabiert, aber Merkel investiert lieber in Waffen für die Ukraine. Schande!
2026-03-31;Macron et von der Leyen sont des marionnettes des États-Unis. Ils sacrifient la France pour plaire à leurs maîtres. Qu'ils démissionnent!
2026-03-31;Die Regierung versteht einfach nicht, wie schwer die Lage ist. Lebensmittelpreise explodieren, und Merz schweigt.
2026-03-31;ABD ve NATO'nun ekonomik politikaları bizim inşaat sektörümüzü vuruyor. Yerli yatırımları desteklemek zorundayız, aksi takdirde daha çok şirket batacak.
2026-03-31;Enflasyon ve döviz kuru dalgalanmaları zaten zor olan tarımı daha da çıkmaza sokuyor. Acil önlem şart!
2026-03-31;Die Sanktionen gegen Russland ruinieren unsere Wirtschaft, aber Merz und von der Leyen jubeln den Amerikanern zu.
2026-03-31;John Micksad a raison : ce porte-avions symbolise l'arrogance d'un président déconnecté des réalités économiques.
2026-03-31;Merkels Erbe und die EU-Politik ruinieren unsere Zukunft. Deutschland braucht dringend einen Kurswechsel!
2026-03-31;Why does our government listen to Trump? He exploits conflicts for profit, and we’re left dealing with the consequences.
2026-03-31;Faizler çok yüksek ve inşaat firmaları kredilere ulaşamıyor. Hükümet acilen ulusal bir kalkınma planı oluşturmalı!
2026-03-31;Uluslararası bankaların tahminleri doğruysa, önümüzdeki aylar çok daha zor geçecek. Hazırlıklı olmalıyız.
2026-03-31;Das ist eine absolute Frechheit! Unser Geld wird für alles Mögliche verschwendet, nur nicht für unsere eigenen Probleme.
2026-03-31;Dış güçlerin ekonomi politikaları Türkiye'yi olumsuz etkiliyor. Kendi kaynaklarımıza yönelmeliyiz.
2026-03-31;Batmak üzere olan firmaları kurtarmak yerine, kök sorunu çözecek politikalar üretmeliyiz. Dışa bağımlılık bizi bitiriyor!
2026-03-31;I. Koniec z tym cyrkiem polityków! Ile można słuchać tych bredni o wszystkim, tylko nie o cenach paliwa i kryzysie?
2026-03-31;Das ist Betrug am deutschen Volk! Erst versprechen sie Entlastung, dann fließt das Geld in sinnlose Projekte.
2026-03-31;Plutôt que d'investir dans la défense, Macron ferait mieux de s'occuper des problèmes des Français.
2026-03-31;Un porte-avions coûteux alors que les hôpitaux manquent de moyens ? C'est typique de la politique spectacle de Macron.
2026-03-31;Erdogan talks about peace, yet Turkey hosts Hamas leaders. This isn't diplomacy—it's sponsorship of terrorism.
2026-03-31;Dış baskılar nedeniyle yatırımcılar Türkiye'den çekiliyor. Yerli sermayeyi güçlendirmek için radikal adımlar atılmalı.
2026-03-31;This so-called peace deal was just another business transaction for Trump. Israel deserves real diplomacy, not shady deals.
2026-03-31;L'argent européen destiné à la reconstruction finit dans des villas de luxe en Floride - un scandale qui devrait faire tomber Zelensky.
2026-03-31;Batı'nın ekonomik politikaları gelişmekte olan ülkeleri zora sokuyor. Kendi iç pazarımızı korumalıyız.
2026-03-31;Der Fokus auf Kriegshilfen statt auf eigene Bürger ist ein Skandal. Wann wacht diese Regierung endlich auf?
2026-03-31;Bu ekonomik göstergeler gerçekten endişe verici. Enerji fiyatlarındaki artış bizim gibi ülkeleri çok sert vuruyor.
2026-03-31;Israel wants peace, but how can we negotiate with terrorists who vow to destroy us? Erdogan knows this but chooses to blame us.
2026-03-31;Warum hören wir nicht einfach auf, uns selbst zu schaden, und kaufen wieder Gas und Öl aus Russland? Die Pipeline war doch die beste Lösung!
2026-03-31;Bruksela wymyśla coraz to nowe sposoby, żeby nas doić. Najpierw kaucja, teraz wyższe opłaty. Gdzie tu logika?
2026-03-31;Trump only cares about money, not peace. Every time he gets involved, Israel ends up paying the price. We need to stop trusting him.
2026-03-31;Zachwycacie się obniżkami, a ja pytam: dlaczego nie zrobili tego wcześniej? To nie łaska, tylko panika przed gniewem ludzi.
2026-03-31;Nagłe obniżki podatków to dowód, że wcześniej nas okradali. Dziękować za to, że teraz okradają mniej? To chore.
2026-03-31;Jeszcze wczoraj tłumaczyli, że ceny paliw są wysokie z powodu rynku i UE, a dziś magicznie VAT można obniżyć. To nie cud, to manipulacja!
2026-03-31;Tusk pokazuje, że politycy mają nas za idiotów. Ceny spadają tylko wtedy, gdy im grozi utrata władzy.
2026-03-31;Znów podwyżki za wywóz śmieci! Kaucja to tylko pretekst, żeby wyciągać z nas coraz więcej pieniędzy. Kiedy to się skończy?
2026-03-31;Macron est un pantin des États-Unis. Sa politique énergétique ruine la France au profit des multinationales américaines. Démission !
2026-03-31;Die Sanktionen gegen Russland ruinieren unsere Wirtschaft. Warum hört niemand auf die Vernünftigen?
2026-03-31;Merkel hat uns schon genug geschadet, jetzt machen Merz und von der Leyen weiter. Immer nur Amerika im Kopf, aber nie Deutschland!
2026-03-31;Merkel hat uns schon genug geschadet, und jetzt setzt Merz ihre Politik fort. Wann hört das endlich auf?
2026-03-31;Le nouveau porte-avions français est un gaspillage d'argent public pour flatter l'ego de Macron, dont la popularité est au plus bas.
2026-03-31;IV. To chore, że cały czas słyszymy o geopolityce, a nikt nie mówi, jak ludzie mają płacić za benzynę.
2026-03-31;Dış politika baskıları nedeniyle tarım politikalarımız şekilleniyor. Kendi gıda egemenliğimizi sağlamalıyız artık.
2026-03-31;Turkey under Erdogan supports terrorists while pretending to be a peacemaker. The world sees through his hypocrisy.
2026-03-31;Devlet desteği olmadan tarım sektörü nasıl ayakta kalacak? Belirsizlik çiftçilerin tüm planlarını alt üst ediyor.
2026-03-31;Czy ktoś w Brukseli w ogóle myśli o zwykłych ludziach? Nasze rachunki rosną, a oni tylko mówią o zielonej gospodarce.
2026-03-31;Trump talks about peace, but his actions only fuel more violence. Israel must stop being his puppet in the Middle East.
2026-03-31;III. Politycy to hipokryci. Wczoraj kochali Rosję, dziś udają Europejczyków, a jutro znów będą biegać do Moskwy.
2026-03-31;Unsere Energiepreise explodieren, unsere Industrie wandert ab – und unsere Regierung applaudiert Washington.
2026-03-31;ABD ve NATO'nun ekonomik baskıları çiftçiyi vuruyor. Kendi ayaklarımız üzerinde durmanın zamanı geldi de geçiyor.
2026-03-29;Армія — єдина інституція, яка реально має авторитет, а не ці клоуни у владі.
2026-03-29;Коли бійці просять броніки, а держава купує літак спортивній делегації. Логіка?
2026-03-29;ТЦКшники винайшли новий спосіб мотивувати – тепер вони просто блокуватимуть банківські картки тих, хто ухиляється.
2026-03-29;Коли бачу новини про ТЦК, хочеться плакати. Наші ж люди, а ведуть себе як окупанти. Хіба так можна?
2026-03-29;Влада страшно боїться втратити контроль через народних військових героїв.
2026-03-29;Ветеранів треба поважати, а не ламати їм кістки. Те, що відбувається — це просто злочин проти народу.
2026-03-29;Мабуть, у наших генералів якийсь інший підручник тактики, де штурм без прикриття – норма. Звичайний розстріл своїх.
2026-03-29;Усі ці олімпійські ігри – просто черговий шоу-бізнес під прикриттям патріотизму.
2026-03-29;Зеленський розуміє, що його кабмін у погонах більше не працює, народ прозріває.
2026-03-29;Якщо військкомати хочуть так сильно воювати – нехай спершу своїх синів відправлять на фронт, а потім вже чужіх ловлять.
2026-03-29;Жодних змін, лише обіцянки. Народ втомився від безкінечного брехну.
2026-03-29;У нашому місточку теж була історія з ТЦК, але люди зібралися та не дали хлопців забрати. Вони нас навчили солідарності.
2026-03-29;Чи справді спорт важливіший за життя наших бійців? Питання риторичне.
2026-03-29;Час вимагати відставки всієї цієї зграї, яка веде країну до катастрофи.
2026-03-28;La résistance s’organise contre ceux qui veulent sacrifier la France sur l’autel de leurs ambitions.
2026-03-28;It's obvious Turkey wants to replace Israel as the regional power. But their true intention is to provoke conflict, not promote peace.
2026-03-28;Every gift from the White House came with strings: Jerusalem recognition offset by funding Palestinian propaganda machines.
2026-03-28;If Turkey keeps expanding its influence unchecked, war with Israel will be inevitable. The signs are all there.
2026-03-28;Turkey's ambitions in the region are a direct threat to Israel. If they gain more influence, military confrontation becomes inevitable.
2026-03-28;Warum hören wir nicht endlich auf, uns von den USA und Brüssel vorschreiben zu lassen, wie wir unsere Energieversorgung regeln sollen? Das ist unser Land!
2026-03-28;Turkey openly talks about war with Israel, and the world stays silent. We must prepare for the worst.
2026-03-28;Macron n'est qu'un pantin de l'UE. Il vend nos intérêts nationaux pour plaire à des bureaucrates sans visage. Honte à lui!
2026-03-28;Don't be fooled by Turkey's peacekeeping – they're working to isolate Israel and push us toward war.
2026-03-28;Wann begreift die Politik endlich, dass Sicherheit auch bezahlbare Lebenshaltungskosten bedeutet?
2026-03-28;Macron a détruit notre pays avec ses réformes inutiles et sa gouvernance autoritaire. Maintenant, il censure ceux qui osent le critiquer. Quelle honte pour la démocratie!
2026-03-28;Immer mehr Menschen können sich kein Eigenheim mehr leisten – ist das die soziale Marktwirtschaft?
2026-03-28;Zelensky n'arrête pas de quémander comme un mendiant. Assez! On n'a pas les moyens de jouer les bonnes poires indéfiniment.
2026-03-28;Merz‘ Entscheidungen treiben Deutschland in den Abgrund. Wo bleibt der Stolz auf deutsche Ingenieurskunst?
2026-03-28;Les élites européennes se remplissent les poches pendant que nos entreprises ferment. Assez de cette exploitation! Vive la France libre!
2026-03-28;Es ist absurd, dass wir funktionierende AKWs abgeschaltet haben, während unsere Nachbarländer weiterhin auf Atomkraft setzen. Wer hat diesen Wahnsinn beschlossen?
2026-03-28;On nous parle de souveraineté européenne, mais en réalité nous obéissons aux ordres de Washington. Macron est un pantin des Américains.
2026-03-28;Macron devrait regarder les prix dans les supermarchés avant d'offrir notre argent à l'étranger. Nous ne sommes pas une caisse sans fond !
2026-03-28;Die Absage der Großveranstaltungen in Deutschland zeigt, wie sehr die Sicherheitslage aus dem Ruder gelaufen ist.
2026-03-28;Waffenkonzerne haben zu viel Einfluss auf die Politik, während soziale Bereiche wie Medizin und Bildung leiden.
2026-03-28;Trump won’t care anymore. He got what he wanted—a photo op. But what about our safety? What about peace? Nothing changed.
2026-03-28;Macron veut augmenter les dépenses militaires alors que la France n'est menacée par personne. C'est lui qui représente le vrai danger!
2026-03-28;Es ist alarmierend, wie Gelder aus Pensionen und Gesundheitsversorgung in die Rüstungsindustrie umgeleitet werden.
2026-03-28;Les élites européennes corrompues, dirigées par Macron, sont en train de détruire délibérément notre pays et notre économie.
2026-03-28;Erdogan is using Trump's sympathy to push his agenda against Israel, and it's terrifying. Turkey's growing influence is a direct threat to our security.
2026-03-28;Ce gouvernement est devenu une véritable dictature. Macron a peur de la vérité, alors il impose la censure. Jusqu'à quand allons-nous tolérer ça?
2026-03-28;Je crois qu'on a déjà assez donné à Zelensky! 35 milliards, c'est une somme astronomique, surtout quand on nous demande de faire des économies ici.
2026-03-28;Die grüne Energiepolitik hat uns in die Abhängigkeit von teuren Importen getrieben. Jetzt droht der Blackout, und niemand übernimmt Verantwortung.
2026-03-28;US politicians tweet pro-Israel slogans while their NGOs bankroll BDS campaigns. This isn’t loyalty—it’s geopolitical theater.
2026-03-28;Ces politiques européennes imposées par Bruxelles sont une catastrophe pour nos agriculteurs français. Macron devrait défendre nos intérêts au lieu de lécher les bottes de von der Leyen!
2026-03-28;Le gaz russe était essentiel pour nos usines. Maintenant, elles ferment une à une. Merci les décideurs européens !
2026-03-28;L'UE est devenue une machine à cash pour les élites corrompues. La France doit reprendre le contrôle de son destin avec le Frexit!
2026-03-28;Die deutsche Industrie könnte führend sein, aber stattdessen verlieren wir Jobs wegen inkompetenter Politik.
2026-03-28;Macron et ses complices veulent nous entraîner dans une guerre contre la Russie qui ne représente aucun danger pour la France.
2026-03-28;The Turkish regime is not hiding its hostility anymore. Their rhetoric against Israel is becoming more aggressive every day.
2026-03-28;Die Absage des Karnevals ist nur die Spitze des Eisbergs – die Sicherheitslage verschlechtert sich rasant.
